Year,SVM,Tree-Based,Naïve Bayes,Regression,Deep Learning/neural network,Other,Unknown
2013,1,,,,,,
2013,1,,,,,,
2013,,,,1,,,
2014,,,1,,,,
2014,,,,1,,,
2014,,,,1,,,
2014,1,,,,,,
2014,,,,,1,,
2014,1,1,1,,,,
2015,1,1,1,,,,
2015,1,,1,,,,
2015,1,,,1,,,
2015,,,,,,1,
2015,,,,1,,,
2015,1,,,,,,
2015,,,,1,,,
2015,1,,,,,,
2015,,,,,,1,
2015,,,1,,,,
2016,,,,,1,,
2016,,1,,,,,
2016,,1,,,,,
2016,,,,1,,,
2016,,1,,,,,
2016,1,,,,,,
2017,1,,1,,,,
2017,1,,1,,,,
2017,1,1,1,1,,,
2017,1,1,1,,,,
2017,1,,1,,,,
2017,1,,,,,,
2017,,,,,,1,
2017,1,,,,,,
2017,,,,,,1,
2017,,1,,,,1,
2017,,,,,,1,
2017,,,1,,,1,
2017,1,,1,,,,
2017,1,,1,,,,
2018,,,,,1,,
2018,1,1,1,,,,
2018,1,1,1,,,,
2018,1,1,,1,1,,
2018,,1,,1,,1,
2018,,,,,1,,
2018,1,1,,1,1,,
2018,1,,,,1,,
2018,1,,1,1,,,
2018,,,,,,1,
2019,1,,,,,,
2019,,,1,,1,1,
2019,,,,,,1,
2015,,,,,,,1
2017,,1,,,,,
2018,,,,,1,,
2018,,,,,,1,
2019,1,,,,,,
2019,,,,,1,,
2019,,,,,1,,
2019,,,1,,,,
2019,,,,1,,,
2019,,,,1,,,
2019,,1,1,,,,
2019,,,1,,,,
2019,,,,,1,,
2019,1,,,,,,
2019,1,1,1,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,1,,
2019,1,,,,,,
2019,,1,,,,1,
2019,1,1,,1,,,
2019,1,,1,,,1,
2019,1,1,1,1,,1,
2019,1,1,1,,,1,
2019,1,1,1,,,1,
2019,,,,1,1,1,
2019,1,1,1,1,1,,
2019,1,,,,,,
2019,,,,1,,,
2019,,1,,,,1,
2019,,,,,1,1,
2019,,,,,,1,
2019,,,,,,1,
2020,1,1,1,1,1,,
2020,1,1,1,,,,
2020,1,1,1,,,,
2020,1,1,1,,,1,
2020,,,1,,,,
2020,1,,,,1,1,
2020,,,,1,,,
2020,1,1,1,1,,1,
2020,1,,,1,,,
2020,,1,1,,,,
2020,1,,,,,,
2020,,,,,1,,
2020,,,,,,,
2020,1,,,1,,,
2020,1,1,1,1,,,
2020,,,,,1,,
2020,,,,,,1,
2020,,,,,1,,
2020,1,1,1,,1,,
2020,1,1,,,,1,
2020,1,1,1,1,,,
2020,1,1,1,1,,1,
2020,1,1,,1,1,1,
2020,,,,,,,
2020,,1,,,,,
2020,,,,,,1,
2020,,,,,1,,
2020,1,1,1,1,1,1,
2020,1,1,1,1,1,,
2020,1,1,1,1,,,
2020,1,,,1,,,
2020,1,1,1,1,1,1,
2020,1,1,1,1,,1,
2020,,,,,,1,
2020,,,,,,1,
2020,1,1,1,1,1,,
2021,1,1,,1,1,,
2021,1,1,,,,,
2021,1,1,1,,,1,
2021,,1,,,,1,
2021,,,,,,1,
2021,1,1,1,1,,1,
2021,,,,,,,
2021,1,1,1,1,,1,
2021,1,1,,1,,1,
2021,,1,,,,,
2021,,,,,,1,
2021,1,,,,1,,
2021,,,1,1,1,,
2021,,1,1,,,,
2021,,1,,,,1,
2021,1,,1,,,,
2021,1,1,1,1,,,
2021,,,,,1,1,
2021,,,1,,,,
2021,1,1,1,1,1,,
2021,,,,,,1,
2021,1,1,1,1,,1,
2021,1,,,,1,,
2021,1,1,,,,,
2021,1,1,,1,,1,
2021,1,1,1,1,,1,
2021,1,1,,1,,,
2021,,1,,,,1,
2021,1,1,,,1,,
2021,,,,,,,1
2021,,,,,1,,
2021,1,1,1,1,,,
2021,,,,,,,
2021,1,1,1,,,1,
2021,,,,,1,,
2021,,,,,1,,
2021,1,1,,1,1,,
2021,,,1,1,,1,
2021,1,,1,,,1,
2017,,,,,,1,
2019,1,1,1,1,,1,
2019,,,,,1,,
2018,1,1,1,1,,,
2016,1,1,1,1,,,
